Algorithm,Dataset,Size,Time (ms),Space (KB)
Comb Sort,Sorted (Ascending),5000,2.298,24.414
Tournament Sort,Sorted (Ascending),5000,3.48,24.414
Introsort,Sorted (Ascending),5000,8.403,29.297
Merge Sort,Random,5000,6.066,39.062
Heap Sort,Random,5000,4.158,19.543
Bubble Sort,Random,5000,559.631,19.543
Insertion Sort,Random,5000,88.88,24.414
Selection Sort,Random,5000,63.179,19.543
Quick Sort,Random,5000,2.139,19.723
Library Sort,Random,5000,782.164,24.414
Tim Sort,Random,5000,2.242,29.297
Cocktail Shaker Sort,Random,5000,298.347,24.414
Comb Sort,Random,5000,3.943,24.414
Tournament Sort,Random,5000,5.352,24.414
Introsort,Random,5000,3.595,29.297
Merge Sort,Reverse Sorted,5000,9.538,39.062
Heap Sort,Reverse Sorted,5000,6.075,19.543
Bubble Sort,Reverse Sorted,5000,876.927,19.543
Insertion Sort,Reverse Sorted,5000,303.27,24.414
Selection Sort,Reverse Sorted,5000,102.943,19.543
Quick Sort,Reverse Sorted,5000,220.177,19.723
Library Sort,Reverse Sorted,5000,790.265,24.414
Tim Sort,Reverse Sorted,5000,2.372,29.297
Cocktail Shaker Sort,Reverse Sorted,5000,388.309,24.414
Comb Sort,Reverse Sorted,5000,1.962,24.414
Tournament Sort,Reverse Sorted,5000,3.207,24.414
Introsort,Reverse Sorted,5000,5.205,29.297
Merge Sort,Partially Sorted,5000,5.219,39.062
Heap Sort,Partially Sorted,5000,3.598,19.543
Bubble Sort,Partially Sorted,5000,409.948,19.543
Insertion Sort,Partially Sorted,5000,49.355,24.414
Selection Sort,Partially Sorted,5000,56.988,19.543
Quick Sort,Partially Sorted,5000,2.075,19.723
Library Sort,Partially Sorted,5000,786.376,24.414
Tim Sort,Partially Sorted,5000,1.737,29.297
Cocktail Shaker Sort,Partially Sorted,5000,170.222,24.414
Comb Sort,Partially Sorted,5000,3.114,24.414
Tournament Sort,Partially Sorted,5000,3.355,24.414
Introsort,Partially Sorted,5000,1.73,29.297
Merge Sort,Sorted (Ascending),10000,9.542,78.125
Heap Sort,Sorted (Ascending),10000,7.861,39.074
Bubble Sort,Sorted (Ascending),10000,0.103,39.074
Insertion Sort,Sorted (Ascending),10000,0.134,48.828
Selection Sort,Sorted (Ascending),10000,234.364,39.074
Quick Sort,Sorted (Ascending),10000,1589.827,39.27
Library Sort,Sorted (Ascending),10000,4014.986,48.828
Tim Sort,Sorted (Ascending),10000,3.071,58.594
Cocktail Shaker Sort,Sorted (Ascending),10000,0.116,48.828
Comb Sort,Sorted (Ascending),10000,4.103,48.828
Tournament Sort,Sorted (Ascending),10000,6.739,48.828
Introsort,Sorted (Ascending),10000,14.12,58.594
Merge Sort,Random,10000,14.302,78.125
Heap Sort,Random,10000,8.69,39.074
Bubble Sort,Random,10000,2162.514,39.074
Insertion Sort,Random,10000,307.29,48.828
Selection Sort,Random,10000,241.29,39.074
Quick Sort,Random,10000,3.756,39.27
Library Sort,Random,10000,3186.86,48.828
Tim Sort,Random,10000,6.781,58.594
Cocktail Shaker Sort,Random,10000,1063.007,48.828
Comb Sort,Random,10000,9.731,48.828
Tournament Sort,Random,10000,9.084,48.828
Introsort,Random,10000,4.453,58.594
Merge Sort,Reverse Sorted,10000,12.341,78.125
Heap Sort,Reverse Sorted,10000,9.077,39.074
Bubble Sort,Reverse Sorted,10000,2711.763,39.074
Insertion Sort,Reverse Sorted,10000,616.675,48.828
Selection Sort,Reverse Sorted,10000,332.501,39.074
Quick Sort,Reverse Sorted,10000,785.84,39.27
Library Sort,Reverse Sorted,10000,3226.995,48.828
Tim Sort,Reverse Sorted,10000,6.359,58.594
Cocktail Shaker Sort,Reverse Sorted,10000,1659.839,48.828
Comb Sort,Reverse Sorted,10000,9.798,48.828
Tournament Sort,Reverse Sorted,10000,10.544,48.828
Introsort,Reverse Sorted,10000,18.365,58.594
Merge Sort,Partially Sorted,10000,15.689,78.125
Heap Sort,Partially Sorted,10000,12.551,39.074
Bubble Sort,Partially Sorted,10000,1873.368,39.074
Insertion Sort,Partially Sorted,10000,196.583,48.828
Selection Sort,Partially Sorted,10000,244.987,39.074
Quick Sort,Partially Sorted,10000,5.956,39.27
Library Sort,Partially Sorted,10000,3562.651,48.828
Tim Sort,Partially Sorted,10000,4.337,58.594
Cocktail Shaker Sort,Partially Sorted,10000,610.052,48.828
Comb Sort,Partially Sorted,10000,10.676,48.828
Tournament Sort,Partially Sorted,10000,9.493,48.828
Introsort,Partially Sorted,10000,4.023,58.594
Merge Sort,Sorted (Ascending),20000,21.398,156.25
Heap Sort,Sorted (Ascending),20000,16.444,78.137
Bubble Sort,Sorted (Ascending),20000,0.248,78.137
Insertion Sort,Sorted (Ascending),20000,0.39,97.656
Selection Sort,Sorted (Ascending),20000,1017.517,78.137
Quick Sort,Sorted (Ascending),20000,6016.665,78.348
Library Sort,Sorted (Ascending),20000,16561.423,97.656
Tim Sort,Sorted (Ascending),20000,6.436,117.188
Cocktail Shaker Sort,Sorted (Ascending),20000,0.294,97.656
Comb Sort,Sorted (Ascending),20000,8.418,97.656
Tournament Sort,Sorted (Ascending),20000,14.946,97.656
Introsort,Sorted (Ascending),20000,30.664,117.188
Merge Sort,Random,20000,24.649,156.25
Heap Sort,Random,20000,16.001,78.137
Bubble Sort,Random,20000,8306.995,78.137
Insertion Sort,Random,20000,1359.955,97.656
Selection Sort,Random,20000,983.948,78.137
Quick Sort,Random,20000,12.958,78.348
Library Sort,Random,20000,12456.601,97.656
Tim Sort,Random,20000,11.859,117.188
Cocktail Shaker Sort,Random,20000,4394.937,97.656
Comb Sort,Random,20000,14.281,97.656
Tournament Sort,Random,20000,20.379,97.656
Introsort,Random,20000,7.818,117.188
Merge Sort,Reverse Sorted,20000,18.184,156.25
Heap Sort,Reverse Sorted,20000,15.066,78.137
Bubble Sort,Reverse Sorted,20000,9709.651,78.137
Insertion Sort,Reverse Sorted,20000,2578.882,97.656
Selection Sort,Reverse Sorted,20000,1377.879,78.137
Quick Sort,Reverse Sorted,20000,3422.716,78.348
Library Sort,Reverse Sorted,20000,13432.981,97.656
Tim Sort,Reverse Sorted,20000,15.788,117.188
Cocktail Shaker Sort,Reverse Sorted,20000,7081.125,97.656
Comb Sort,Reverse Sorted,20000,18.007,97.656
Tournament Sort,Reverse Sorted,20000,28.356,97.656
Introsort,Reverse Sorted,20000,43.839,117.188
Merge Sort,Partially Sorted,20000,32.116,156.25
Heap Sort,Partially Sorted,20000,19.4,78.137
Bubble Sort,Partially Sorted,20000,7496.675,78.137
Insertion Sort,Partially Sorted,20000,814.377,97.656
Selection Sort,Partially Sorted,20000,1151.954,78.137
Quick Sort,Partially Sorted,20000,8.546,78.348
Library Sort,Partially Sorted,20000,13478.846,97.656
Tim Sort,Partially Sorted,20000,9.834,117.188
Cocktail Shaker Sort,Partially Sorted,20000,2496.509,97.656
Comb Sort,Partially Sorted,20000,13.529,97.656
Tournament Sort,Partially Sorted,20000,15.723,97.656
Introsort,Partially Sorted,20000,8.925,117.188
